"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Symmetry-Protected Topological Phase Classification Using Hybrid Quantum Convolutional Neural Network with Three Quantum Filters","A. P. J; K. K; P. Sandeep; S. C. Dattatreya; S. N. S. Anil","Computer Science & Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Computer Science & Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Computer Science & Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Computer Science & Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India; Computer Science & Engineering, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Chennai, India","2022 Second International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies (ICAECT)","1 Jul 2022","2022","","","1","6","In this research, a Hybrid Quantum Convolutional Neural Network (HQCNN) was proposed for Symmetry-Protected Topological (SPT) Phase data Classification. The HQCNN used quantum Convolutional and pooling layers with traditional fully connected networks. The quantum Convolutional (QConv) and quantum pooling (QPool) layers were developed using quantum circuit states. The TensorFlow quantum package was used to add the outcomes of the quantum circuits to dense layers for efficient classification. A different number of quantum filters were used in the HQCNN model and tested. A different number of quantum filters were used in the HQCNN model design. The performance of the HQCNN models with the different number of quantum filters was compared using validation and testing performance. The simulation results showed that the classification accuracy of the proposed HQCNN with Four Quantum Filters (HQCNN-4QF) was superior to other proposed HQCNNs on the SPT phase data Classification. The HQCNN-4QF model achieved the classification accuracy of 99.22 on SPT phase test data.","","978-1-6654-1120-2","10.1109/ICAECT54875.2022.9807939","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9807939","Convolutional Neural Network;Fully connected layer;Quantum Convolutional layer;Quantum filters;Quantum pooling layer","Training;Computational modeling;Simulation;Neural networks;Convolutional neural networks;Task analysis;Integrated circuit modeling","","","","15","IEEE","1 Jul 2022","21-22 April 2022","21-22 April 2022","IEEE","IEEE Conferences"
"Hybrid Quantum Convolutional Neural Networks for Enhanced Diabetic Retinopathy Detection","G. S. Babu; M. Lakshmi Sathwika; V. Yamuna; K. Sahithi; N. Rohith; P. Abhishek","Dept of CSE, GMR Institute of Technology, Rajam, India; Dept of CSE, GMR Institute of Technology, Rajam, India; Dept of CSM, Aditya Institute of Technology and Management, Tekkali; Dept of CSE, GMR Institute of Technology, Rajam, India; Dept of CSE, GMR Institute of Technology, Rajam, India; Dept of CSE, GMR Institute of Technology, Rajam, India",2025 4th OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 5.0,"14 Jul 2025","2025","","","1","6","Diabetic Retinopathy (DR) is a severe complication of diabetes, characterized by damage to the blood vessels in the retina, leading to an increased risk of vision loss or blindness. Patients with diabetes who develop DR face a significant risk of visual impairment, underscoring the need for advanced and reliable diagnostic tools. This research addresses this need by introducing a hybrid Quantum Convolutional Neural Network (QCNN) model, designed specifically for the automated detection of DR. By leveraging quantum principles and classical deep learning, this model provides a powerful approach to screening for diabetic retinopathy. In a Convolutional Neural Network (CNN), convolutional layers are primarily responsible for feature extraction from images, capturing intricate details essential for accurate classification. However, the proposed hybrid QCNN introduces quantum layers in addition to traditional convolutional layers, combining the strengths of both quantum computing and classical neural network structures. Quantum computing principles, such as superposition and entanglement, allow the QCNN to encode and process information in unique ways, enhancing the efficiency of feature extraction and the overall performance of the model. Superposition enables the QCNN to represent and manipulate multiple states simultaneously, while entanglement allows for a more complex, interconnected representation of image features. These quantum properties enable the QCNN to explore a broader feature space, offering richer representations of the retinal images than those achievable through classical methods alone. Evaluation of the model’s performance reveals that the QCNN surpasses a traditional CNN in both accuracy and diagnostic performance. This improvement suggests that hybrid QCNN models hold significant promise for enhancing diabetic retinopathy screening, paving the way for earlier diagnosis and better patient outcomes. Future research will focus on refining the hybrid QCNN model to improve its robustness and adaptability, aiming to ensure its effectiveness in real-world healthcare environments.","","979-8-3315-3536-0","10.1109/OTCON65728.2025.11070674","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11070674","Convolutional Neural Network;Diabetic retinopathy;Entanglement;Quantum Convolutional Neural Network;Superposition","Diabetic retinopathy;Adaptation models;Quantum computing;Accuracy;Quantum entanglement;Computational modeling;Visual impairment;Retina;Feature extraction;Convolutional neural networks","","","","15","IEEE","14 Jul 2025","9-11 April 2025","9-11 April 2025","IEEE","IEEE Conferences"
"Multi-Path Parallel Quantum Convolutional Neural Network","H. Qi; X. Huo; A. Gani","School of Computer Science, Shenyang Aerospace University, Shenyang, China; School of Computer Science, Shenyang Aerospace University, Shenyang, China; School of Computer Science, University of Malaya, Kuala Lumpur, Malaysia",2026 International Conference on Multi-scale Artificial Intelligence (MAI),"8 Jun 2026","2026","","","1","6","Quantum Convolutional Neural Networks (QCNN) migrate the convolution and pooling concepts of classical Convolutional Neural Networks (CNN) to variational quantum circuits, showing potential on Noisy Intermediate-Scale Quantum (NISQ) devices. However, traditional QCNN adopts a single-depth circuit structure, which has limitations in multi-scale feature extraction, and is prone to the barren plateau phenomenon during training, making it difficult to adapt to high-dimensional real-world scenarios such as network intrusion detection. This paper proposes a QCNN architecture based on a multi-path parallel structure. For the network intrusion detection task, it draws on the Inception module to construct three parallel quantum convolution paths: shallow, medium, and deep, achieving hierarchical extraction of multi-scale features; residual connections are introduced to preserve encoded state information and provide gradient shortcuts; a hybrid optimization strategy combining classical Adam and Quantum Natural Gradient (QNG) is adopted to adapt to the heterogeneous parameter space. Experimental validation shows that, on the UNSW-NB15 network intrusion detection dataset, the proposed Multi-Path Parallel Quantum Convolutional Neural Network (MP-QCNN) improves detection accuracy by 3% compared to traditional single-path QCNN and effectively mitigates the barren plateau phenomenon. This design strictly maintains NISQ depth constraints and quantum parallelism advantages, providing an efficient and stable feature extraction framework for high-dimensional tasks such as network intrusion detection.","","979-8-3315-4566-6","10.1109/MAI69289.2026.11543763","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11543763","Quantum Convolutional Neural Network;Multi- Path Parallel Structure;Inception Migration;Residual Connection;Quantum Natural Gradient","Convolutional neural networks;Design methodology;Optimization;Encoding;Equations;Printing;Modeling;Training;Convolution;Media","","","","17","IEEE","8 Jun 2026","24-26 April 2026","24-26 April 2026","IEEE","IEEE Conferences"
"Design and Implementation of Quantum Kernel Convolution for Hybrid Neural Networks","E. Şeker; Y. K. Bayraktaroğlu; D. E. Çam; E. G. Soyak; S. Kalem","Computer Engineering, Bahçeşehir University, Istanbul, Türkiye; Computer Engineering, Bahçeşehir University, Istanbul, Türkiye; Computer Engineering, Bahçeşehir University, Istanbul, Türkiye; Department of Computer Engineering, Bahçeşehir University, Istanbul, Türkiye; Electrical and Electronics Engineering, Bahçeşehir University, Istanbul, Türkiye",2025 10th International Conference on Computer Science and Engineering (UBMK),"24 Oct 2025","2025","","","1344","1349","Classical convolutional neural networks (CNNs) have achieved notable success in image classification but face challenges in scalability, interpretability, and computational cost. With the growing availability of Noisy Intermediate-Scale Quantum (NISQ) devices, hybrid quantum-classical models offer a promising alternative by leveraging quantum parallelism and entanglement. In this work, we present a hybrid Quantum Convolutional Neural Network (QCNN) that integrates quantum convolutional layers into classical image classification pipeline for the MNIST dataset. Our architecture features a modular, low-depth Quantum Kernel Convolution (QKC) design suitable for near-term hardware. We implement the system using Qiskit and evaluate in terms of classification accuracy, circuit efficiency, and integration feasibility. Our results demonstrate that (i) the hybrid QCNN achieves similar accuracy to classical models while reducing the number of classical parameters, and (ii) quantum layers can successfully perform dimensionality reduction through entanglement-based pooling. This study highlights the potential of hybrid QCNN as a practical quantum-enhanced model for real-world image recognition tasks.","2521-1641","979-8-3315-9975-1","10.1109/UBMK67458.2025.11206946","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11206946","quantum computing;convolutional neural network (CNN);quantum convolutional neural network (QCNN);Quantum Kernel Convolution (QKC)","Quantum computing;Accuracy;Quantum entanglement;Convolution;Computational modeling;Scalability;Convolutional neural networks;Kernel;Integrated circuit modeling;Image classification","","1","","15","IEEE","24 Oct 2025","17-21 Sept. 2025","17-21 Sept. 2025","IEEE","IEEE Conferences"
"UWB NLOS/LOS Classification Using Hybrid Quantum Convolutional Neural Networks","S. -G. Jeong; Q. -V. Do; H. -J. Hwang; M. Hasegawa; H. Sekiya; W. -J. Hwang","Department of Information Convergence Engineering, Center for Artificial Intelligence of Pusan National University, Busan, Korea; Department of Information Convergence Engineering, Center for Artificial Intelligence of Pusan National University, Busan, Korea; Department of Information Convergence Engineering, Center for Artificial Intelligence of Pusan National University, Busan, Korea; Department of Electrical Engineering, Tokyo University of Science, Tokyo, Japan; Graduate School of Engineering, Chiba University, Chiba, Japan; Department of Information Convergence Engineering, Center for Artificial Intelligence of Pusan National University, Busan, Korea",2023 IEEE International Conference on Consumer Electronics-Asia (ICCE-Asia),"27 Nov 2023","2023","","","1","2","Ultra-wide-band (UWB) technology has emerged as a promising solution for providing accurate indoor positioning capabilities. However, indoor environments have various obstacles, which induce significant signal propagation effects. To avoid this issue, UWB signal classification is essential for improving positioning accuracy. This paper proposes a hybrid quantum convolutional neural network (HQCNN) inspired by convolutional neural networks for UWB none-line-of-sight/line-of-sight signal classification. The result shows that the HQCNN outperforms benchmarks.","","979-8-3503-4431-8","10.1109/ICCE-Asia59966.2023.10326359","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10326359","Channel impulse response;convolutional neural network;hybrid quantum convolutional neural network;quantum convolutional neural network;ultra-wide-band","Computational modeling;Qubit;Pattern classification;Benchmark testing;Indoor environment;Convolutional neural networks;Data mining","","3","","3","IEEE","27 Nov 2023","23-25 Oct. 2023","23-25 Oct. 2023","IEEE","IEEE Conferences"
"On Circuit-Based Hybrid Quantum Neural Networks for Remote Sensing Imagery Classification","A. Sebastianelli; D. A. Zaidenberg; D. Spiller; B. L. Saux; S. L. Ullo","Engineering Department, University of Sannio, Benevento, Italy; Massachusetts Institute of Technology, Cambridge, MA, USA; European Space Agency, Frascati, Italy; European Space Agency, Frascati, Italy; Engineering Department, University of Sannio, Benevento, Italy",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"5 Jan 2022","2022","15","","565","580","This article aims to investigate how circuit-based hybrid quantum convolutional neural networks (QCNNs) can be successfully employed as image classifiers in the context of remote sensing. The hybrid QCNNs enrich the classical architecture of convolutional neural networks by introducing a quantum layer within a standard neural network. The novel QCNN proposed in this work is applied to the land-use and land-cover classification, chosen as an Earth observation (EO) use case, and tested on the EuroSAT dataset used as the reference benchmark. The results of the multiclass classification prove the effectiveness of the presented approach by demonstrating that the QCNN performances are higher than the classical counterparts. Moreover, investigation of various quantum circuits shows that the ones exploiting quantum entanglement achieve the best classification scores. This study underlines the potentialities of applying quantum computing to an EO case study and provides the theoretical and experimental background for future investigations.","2151-1535","","10.1109/JSTARS.2021.3134785","Massachusetts Institute of Technology; University of Sannio; MIT Science and Technology Initiative; European Space Agency Φ-Lab’s Quantum Computing for Earth Observation Initiative; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9647979","Earth observation (EO);image classification;land-use and land-cover (LULC) classification;machine learning (ML);quantum computing (QC);quantum machine learning (QML);remote sensing","Quantum computing;Remote sensing;Computers;Quantum circuit;Quantum mechanics;Qubit;Task analysis","","129","","80","CCBY","13 Dec 2021","2022","","IEEE","IEEE Journals"
"Application of image recognition algorithm based on quantum convolutional neural network","X. Zhao","Harbin Institute of Petroleum, Harbin, China","2025 IEEE 5th International Conference on Electronic Technology, Communication and Information (ICETCI)","24 Jul 2025","2025","","","653","657","In this paper, an innovative Quantum image recognition algorithm, Quantum Auto Gradient Descent (QAGD), is proposed. The algorithm combines the advantages of quantum convolutional neural networks (QCNN), autoencoders (AE) and low-lot gradient descent (MGD). The introduction of an automatic encoder into the quantum convolutional neural network can effectively extract image features and reduce dimensionality, reduce data dimensions while retaining key information, and improve the model's ability to capture image features. At the same time, combined with the small-batch gradient descent optimization strategy, the model parameters are iteratively updated through small-batch data, which speeds up the model convergence speed and improves the training efficiency. In the experimental part, we compare QAGD with traditional image recognition algorithms, and the results show that QAGD algorithm has significant advantages in improving image recognition performance and reducing false positive rate, with higher recognition accuracy and faster training speed. This fully verifies the feasibility and effectiveness of QAGD architecture in the application of image recognition algorithms based on quantum convolutional neural networks.","","979-8-3315-3372-4","10.1109/ICETCI64844.2025.11084236","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11084236","quantum convolutional neural networks;image recognition;gradient descent","Training;Image recognition;Quantum computing;Accuracy;Autoencoders;Feature extraction;Data models;Convolutional neural networks;Optimization;Convergence","","","","11","IEEE","24 Jul 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
"Hybrid Quantum Convolutional Neural Networks with Structured Quantum Layers and Expressivity Analysis","H. K. Ping; T. Chye Cheah","School of Computer Science, University of Nottingham Malaysia, Selangor, Malaysia; School of Computer Science, University of Nottingham Malaysia, Selangor, Malaysia",2025 IEEE International Conference on Artificial Intelligence in Engineering and Technology (IICAIET),"5 Dec 2025","2025","","","292","297","This paper proposes and evaluate Hybrid Quantum Convolutional Neural Networks (HQCNNs) that integrate Structured Variational Quantum Circuits (SVQCs) into classical convolutional networks for image classification. Prior quanvolutional architectures often rely on unstructured variational circuits, leading to barren-plateau training landscapes, unpredictable convergence, and poor scaling of expressivity as qubit count grows. Moreover, simplistic data-encoding schemes can either fail to capture spatial correlations or demand impractically deep circuits, while arbitrary entanglement patterns obscure the relationship between circuit design and learning capacity. To address these challenges, we design four HQCNN architectures with progressively increased quantum encoding precision, entanglement topology, and classical post-processing depth. Each HQCNN replaces the convolutional layer with a quanvolutional layer: local image patches are encoded into small qubit registers via an Enhanced Novel Enhanced Quantum Representation (ENEQR), then processed by the SVQCs, and then measured to produce quantum feature maps. The four versions vary in quantum structure: Version 1 uses a simple linear 5-qubit chain (q=2), Version 2 adds wrap-around entanglement (closed-loop topology), Version 3 augments the classical head with a deeper batch-normalized multilayer perceptron, and Version 4 increases encoding fidelity to q=4 (7 qubits per patch). All models end-to-end using the Adam optimizer and cross-entropy loss on the MNIST dataset for 10 epochs using a PennyLane simulator. Version 4 achieves the best test accuracy (96% on MNIST). Fourier spectrum analysis reveals that richer entanglement and higher-fidelity encoding broaden the circuits’ harmonic spectrum, correlating with enhanced representational capacity and improved classification performance. These results confirm that carefully structured quantum layers and enhanced encoding can enrich feature representations and boost accuracy, albeit with increased simulation overhead and training complexity.","","979-8-3315-5451-4","10.1109/IICAIET67254.2025.11265063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11265063","Quantum Algorithm;Hybrid Quantum Convolutional Neural Networks (HQCNN);Structured Variational Quantum Circuits (SVQC);Enhanced Novel Enhanced Quantum Representation (ENEQR);Quantum Image Encoding;Fourier Expressivity Analysis","Training;Image coding;Accuracy;Quantum entanglement;Qubit;Encoding;Topology;Convolutional neural networks;Integrated circuit modeling;Quantum circuit","","","","36","IEEE","5 Dec 2025","26-28 Aug. 2025","26-28 Aug. 2025","IEEE","IEEE Conferences"
"Real-Time Situational Awareness at National Borders: A Comparative Analysis of Classical and Hybrid QCNN Approaches","R. Thilagavathy; M. S. Aravindan","School of Computing, SRM Institute of Science and Technology, Chengalpet, India; School of Computing, SRM Institute of Science and Technology, Chengalpet, India",2025 6th International Conference on Recent Advances in Information Technology (RAIT),"30 Jul 2025","2025","","","1","6","Situational awareness at national borders is critical for maintaining security and enabling timely responses to potential threats. In this study, we explore and compare the performance of Classical Convolutional Neural Networks (CNNs) and Hybrid Quantum Convolutional Neural Networks (QCNNs) for real-time alert systems. The primary objective is to identify the algorithm that can deliver the fastest alerts, prioritizing speed over accuracy to ensure quick decision-making and action. By taking advantage of the computational advantages of quantum computing, we aim to determine whether QCNNs can outperform classical CNNs in scenarios where rapid response is paramount. Experimental results demonstrate the potential of both methodologies, with a detailed analysis of their speed performance, offering valuable insights for the deployment of efficient situational awareness systems at national borders.","2994-287X","979-8-3315-2480-7","10.1109/RAIT65068.2025.11088906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11088906","Situational Awareness;National Borders;Classical Convolutional Neural Networks;Quantum Convolutional Neural Networks;Real-Time Alert Systems","Accuracy;Quantum computing;Computational modeling;Streaming media;Real-time systems;Convolutional neural networks;Time factors;Security;Reliability;Anomaly detection","","1","","15","IEEE","30 Jul 2025","6-8 March 2025","6-8 March 2025","IEEE","IEEE Conferences"
"Improving CNN-Based Breast Cancer Detection Integrating Quantum Layers","M. R. V. Reddy; B. Bhowmik","Department of Computer Science and Engineering, Maharshi Kanad QC Lab, BRICS Lab, National Institute of Technology Karnataka, Mangalore, Bharat; Department of Computer Science and Engineering, Maharshi Kanad QC Lab, BRICS Lab, National Institute of Technology Karnataka, Mangalore, Bharat","2025 6th International Conference on Control, Communication and Computing (ICCC)","18 Jul 2025","2025","","","1","6","Breast cancer continues to be a significant burden on global healthcare systems, as early and accurate diagnosis is crucial for improving patient outcomes. Conventional methods used for diagnosis include mammography and biopsy; although they do supply critical information, they often have poor accuracy and are operator-dependent. Artificial Intelligence(AI), particularly Convolutional Neural Networks, presents a promising tool for analyzing medical images; however, conventional CNNs face significant challenges in generalizing from one dataset to another. This paper presents a hybrid Quantum Convolutional Neural Networks(QCNN) framework by integrating the classical feature extraction models VGG16, VGG19, and InceptionV3 with a Quantum Convolutional Layer (QCL). It uses the principles of quantum, such as superposition and entanglement, which process high-dimensional data for capturing non-linear patterns. Therefore, it improves the model’s accuracy, sensitivity, and specificity. This hybrid framework presents a scalable and robust solution for the early detection of breast cancer, thereby advancing automated diagnostic systems to enhance reliability and adaptability.","","979-8-3315-1949-0","10.1109/ICCC64910.2025.11077196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11077196","Quantum Convolutional Neural Networks;Mammography;Quantum Convolutional Layer;Biopsy;Artificial Intelligence","Quantum computing;Accuracy;Scalability;Neural networks;Biopsy;Sensitivity and specificity;Breast cancer;Robustness;Convolutional neural networks;Medical diagnostic imaging","","3","","26","IEEE","18 Jul 2025","23-25 May 2025","23-25 May 2025","IEEE","IEEE Conferences"
