"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Xu Z.; Zhao Y.; Ji W.; Bao C.","Xu, Zhiliang (60115588700); Zhao, Yan (60530667100); Ji, Weidong (36781631100); Bao, Chengke (59389480100)","60115588700; 60530667100; 36781631100; 59389480100","Quantum-enhanced metacognitive knowledge tracking: A two-dimensional modeling and transfer learning framework","2026","Knowledge-Based Systems","340","","115738","","","0","10.1016/j.knosys.2026.115738","https://www.scopus.com/pages/publications/105033606339?origin=resultslist","Article","Final","","Scopus","2-s2.0-105033606339"
"Shaji A.A.; Sadhwani S.; Muthalagu R.; Pawar P.M.; Mathew T.","Shaji, Aimy Acksa (60567571500); Sadhwani, Sapna (57222489783); Muthalagu, Raja (59357164000); Pawar, Pranav M. (54783215400); Mathew, Tojo (56537885200)","60567571500; 57222489783; 59357164000; 54783215400; 56537885200","QML-IDS: Quantum Machine Learning Approaches for Intrusion Detection Systems in IoT devices","2025","2025 3rd International Conference on Computational Intelligence and Network Systems, CINS 2025","","","","","","1","10.1109/CINS67018.2025.11412140","https://www.scopus.com/pages/publications/105035148403?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105035148403"
"Kim M.; Heo J.; Roh E.J.; Park S.","Kim, Minjoo (59925166600); Heo, Juhui (60112378200); Roh, Emily Jimin (59152226100); Park, Soohyun (59925406700)","59925166600; 60112378200; 59152226100; 59925406700","Dynamic Multi-Pqc Quantum Convolutional Neural Network for Real-Time Pothole Detection: Invited Paper","2025","IEEE Workshop on Signal Processing Advances in Wireless Communications, SPAWC","","","","","","0","10.1109/SPAWC66079.2025.11143329","https://www.scopus.com/pages/publications/105016906908?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105016906908"
"Prasad S.V.S.; Rao B.C.; Rao M.K.; Kumar K.R.; Vara Prasad S.D.; Ramesh C.","Prasad, S.V.S. (57158323400); Rao, B. Chinna (58105037500); Rao, M. Koteswara (58630474900); Kumar, K. Ravi (58711885500); Vara Prasad, Srisailapu D. (57201692869); Ramesh, Chappa (57220010865)","57158323400; 58105037500; 58630474900; 58711885500; 57201692869; 57220010865","Medical image segmentation using an optimized three-tier quantum convolutional neural network trained with hybrid optimization approach","2024","Multimedia Tools and Applications","83","13","","38083","38108","12","10.1007/s11042-023-16980-9","https://www.scopus.com/pages/publications/85173109532?origin=resultslist","Article","Final","","Scopus","2-s2.0-85173109532"
"Campanile L.; Castaldo M.; Marrone S.; Napoli F.","Campanile, Lelio (57207770179); Castaldo, Mariarosaria (60002461800); Marrone, Stefano (60364232400); Napoli, Fabio (59309028400)","57207770179; 60002461800; 60364232400; 59309028400","Comparing Emerging and Hybrid Quantum–Kolmogorov Architectures for Image Classification †","2026","Computers","15","1","65","","","1","10.3390/computers15010065","https://www.scopus.com/pages/publications/105028792038?origin=resultslist","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028792038"
"Wu Q.; Liu W.; Li X.; Su Z.; Lei J.","Wu, QingShan (57221306094); Liu, WenJie (55723562200); Li, XinRan (59672371900); Su, Zhaofeng (57192430486); Lei, Jian (60024969400)","57221306094; 55723562200; 59672371900; 57192430486; 60024969400","A multi-topology quantum convolutional neural network with qubit-measurement attention for image classification","2025","Engineering Applications of Artificial Intelligence","160","","111705","","","2","10.1016/j.engappai.2025.111705","https://www.scopus.com/pages/publications/105012245827?origin=resultslist","Article","Final","","Scopus","2-s2.0-105012245827"
"Orka N.A.; Haque E.; Awal M.A.; Moni M.A.","Orka, Nabil Anan (57864036200); Haque, Ehtashamul (57361742900); Awal, Md. Abdul (60516780500); Moni, Mohammad Ali (35119094400)","57864036200; 57361742900; 60516780500; 35119094400","Fully Quanvolutional Networks for Time Series Classification","2025","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","2","","","2210","2221","2","10.1145/3711896.3736972","https://www.scopus.com/pages/publications/105014316288?origin=resultslist","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014316288"
"Zaman K.; Ahmed T.; Hanif M.A.; Marchisio A.; Shafique M.","Zaman, Kamila (58666447100); Ahmed, Tasnim (59027432900); Hanif, Muhammad Abdullah (58704103400); Marchisio, Alberto (57204639484); Shafique, Muhammad (17435669500)","58666447100; 59027432900; 58704103400; 57204639484; 17435669500","A Comparative Analysis of Hybrid-Quantum Classical Neural Networks","2025","Communications in Computer and Information Science","2257 CCIS","","","102","115","11","10.1007/978-3-031-85884-0_9","https://www.scopus.com/pages/publications/105002372531?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105002372531"
"Pulicherla R.; Namineni G.","Pulicherla, Rajyalakshmi (60684806100); Namineni, Gireesh (60684500600)","60684806100; 60684500600","A Quantum CNN Approach for MRI Based Multi-Class Brain Tumor Classification","2026","Proceedings - IEEE Madhya Pradesh Section Conference, MPCON 2026","","","","242","246","0","10.1109/MPCON69668.2026.11508296","https://www.scopus.com/pages/publications/105041459867?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105041459867"
"Ceschini A.; Carbone A.; Sebastianelli A.; Panella M.; Le Saux B.","Ceschini, Andrea (57263921600); Carbone, Andrea (57226393409); Sebastianelli, Alessandro (57202958220); Panella, Massimo (57193363407); Le Saux, Bertrand (6506307016)","57263921600; 57226393409; 57202958220; 57193363407; 6506307016","On hybrid quanvolutional neural networks optimization","2025","Quantum Machine Intelligence","7","1","18","","","7","10.1007/s42484-025-00241-z","https://www.scopus.com/pages/publications/85218245667?origin=resultslist","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85218245667"
